,국가,날짜,구분,분야,제목,본문1,본문2,본문3,제목_현지공용어,본문1_현지공용어,본문2_현지공용어,본문3_현지공용어,출처,링크
78,파키스탄,2022-02-03,공여국,보건,"파키스탄, COVAX로부터 4000만 명분 이상의 백신 지원받아",UNICEF(국제연합아동기금) 파키스탄 사무소는 금년도 1분기에 국제 백신공급 프로젝트인 코백스(COVAX)가 파키스탄에 4000만회분의 백신을 지원할 것이라고 발표함. 또한 UNICEF 역시 파키스탄에 41개의 울트라 콜드체인(초저온유통) 장비 및 대량의 개인보호장비(PPE) 그리고 필수용품 등을 전달하였음.,코로나19 감염병 유행 이래로 1억 5천명(전체 인구의 60%) 이상의 사람들이 UNICEF의 지원을 받은 국내 미디어 채널을 통해 COVID-19 예방 및 서비스 이용 관련 내용을 전달 받았으며 또한 UNICEF의 지역사회 참여 활동을 통해 더 큰 위험에 노출된 5천만명 이상의 사람들이 도움을 받았음.,"UNICEF 파키스탄 사무소는 파키스탄 정부가 백신접종의 성별 격차 문제를 해결할 수 있도록 돕기 위해 UNICEF가 방문 예방접종 및 여성용 백신부스 설치, 여성 백신접종 인력 모집(200명 이상) 등을 지원할 것이라고 밝힘",Pakistan to get 40M more vaccine doses from COVAX,"Pakistan will get 40 million more doses of COVID-19 vaccine in the first quarter of the current year from the COVAX facility, said United Nations International Children’s Fund (UNICEF) Pakistan on Wednesday. Global donor agency told that UNICEF also delivered 41 ultra-cold chain equipment and a huge quantity of personal protective equipment, syringes, laboratory equipment, and other essential supplies.","Since the beginning of the COVID-19 emergency, more than 150 million people (60 per cent of the population) were reached with messages on COVID-19 prevention and access to services through national Media channels with UNICEF support, and more than 50 million at-risk people were reached through community engagement activities.","UNICEF also supports the government to address the gender gap in COVID-19 vaccination through door-to-door vaccination drives, the establishment of vaccine booths for women as well as recruiting female vaccinators (more than 200) to increase the uptake of the vaccine among women"", UNICEF Pakistan said.",The News,https://www.thenews.com.pk/print/930412-pakistan-to-get-40m-more-vaccine-doses-from-covax
79,캄보디아,2022-02-03,수원국,기후행동,전기차 인프라 구축에 관한 도로교통정책 논의,공공교통부 장관 Sun Chanthol은 전기 자동차 사용 촉진을 위한 도로 교통 정책 초안을 논의하기 위해 2월 2일 UNDP와 만남을 가짐. ,회의에서 장관은 환경부가 탄소 배출이 미치는 부정적인 영향을 줄이기 위해 EV 사용을 지원할 수 있는 방법을 고려하고 있다고 말함. 그는 지속 가능한 교통 달성의 또 다른 방법으로 Food Panda 및 NHAM24와 같은 식품 운송 서비스에 가솔린 오토바이 대신 전기 오토바이를 사용하는 가능성에 대해 논의함. ,"또한 이 프로젝트를 위해 9월에 개통될 예정인 프놈펜-프레아 시아누크 지방 고속도로에 지역 주유소와 협력하여 충전소를 설치할 계획이라고 밝힘. 한편, 프놈펜시내 10개소에 충전소 설치는 민간과의 협력 하에 진행될 예정임.","Draft road transport policy, EV infrastructure in the pipeline ",Minister of Public Works and Transport Sun Chanthol has met with the UN Development Programme (UNDP) to discuss a draft road transport policy.,"The discussions  on the development of infrastructure to support the use of electric vehicles (EVs)  were held on February 2 in a courtesy meeting with a UNDP delegation. During the meeting, Chanthol said the ministry was considering ways it could support the use of EVs to reduce the negative impact of carbon emissions into the atmosphere. He planned to discuss the feasibility of using electric motorcycles instead of gasoline motorcycles with food transport services such as Food Panda and NHAM24, as another means of improving sustainable road transport.","For this project, the ministry also planned to install charging stations on the Phnom Penh-Preah Sihanouk province expressway  scheduled to be commissioned in September  in collaboration with a local petrol station company. Meanwhile, the installation of charging stations at 10 locations in the Phnom Penh municipality would be done in cooperation with the private sector.",Phnom Penh Post,https://www.phnompenhpost.com/national/draft-road-transport-policy-ev-infrastructure-pipeline
80,라오스,2022-02-03,수원국,교육,"아이들, 학교로 돌아가기 시작",월요일부터 많은 아이들이 학교로 돌아갔고 대부분 초중등 졸업반 학생으로 확인,"교육체육부, 보건부, 지방 당국의 감독하에 단계적 재개의 일환으로 비엔티안과 지방의 더 많은 학교가 개학",본 학교들은 국가 코로나19 예방관리 대책위원회가 승인한 “안전한 학교” 규정을 준수,Children start return to classrooms,"Many children returned to classes on Monday, with most being final-year students in primary and secondary schools.","More schools are opening in Vientiane and the provinces as part of the phased reopening of schools, which is being monitored by the Ministry of Education and Sports, the Ministry of Health, and local authorities.",Schools are following the “safe schools” protocols approved by the National Taskforce for Covid-19 Prevention and Control.,Vientiane Times,http://www.vientianetimes.org.la/
81,미얀마,2022-02-03,수원국,기타,"캄보디아, 아세안 회의에 미얀마 비정치적 인사 초청","캄보디아 외교부는 1월17일, 군부가 임명한 외교부 장관 대신 이달 말 열리는 동남아시아 외교장관 회의에 미얀마 출신 비정치적 인사가 초청됐다고 밝힘. ",Chum Sounry 캄보디아 외교부 대변인은 미얀마가 아세안 평화 이행안에 진전이 없는 가운데 아세안 회원국들 간 미얀마 외교부 장관을 초청하는데 합의가 이뤄지지 못했다고 밝힘. 캄보디아는 현재 아세안 10개 회원국의 의장국이며 오는 2월 16일과 17일 각료회의를 개최할 예정임.,캄보디아는 수요일 성명을 통해 미얀마에서 계속되는 폭력사태와 인도주의 상황의 악화 등 사태의 심각성에 우려를 표명함. ,Cambodia says non-political Myanmar rep invited to ASEAN meeting ,Cambodia's foreign ministry said on Thursday that a non-political representative from Myanmar had been invited to attend a meeting of Southeast Asian foreign ministers later this month rather than the country's military-appointed foreign minister.,"Members of the ASEAN had not reached a consensus on inviting Myanmar's foreign minister amid a lack of progress in an ASEAN peace plan, said Cambodia's Foreign Ministry Spokesman Chum Sounry. Cambodia is the current chair of the 10-member bloc and is due to host the ministerial meeting on Feb. 16 and 17.  ","Cambodia said in a statement on Wednesday it was ""deeply concerned"" over developments in Myanmar, including reports of continued violence and a deterioration of the humanitarian situation.",Reuters,https://www.reuters.com/world/asia-pacific/cambodia-says-non-political-myanmar-rep-invited-asean-meeting-2022-02-03/
82,이집트,2022-02-04,수원국,에너지,"이집트 통상산업부 장관, '2035년까지 재생에너지자원 비중을 42%까지 끌어올리는 것이 목표'",네빈 가미아 이집트 산업통상부 장관은 현재 신재생에너지 자원이 이집트 에너지 믹스의 약 20%를 차지하고 있으며 2035년까지 42%로 끌어올리는 것이 목표라 밝힘. ,또한 장관은 이집트 정부가 이집트 산업 경쟁력 강화와 글로벌 시장 진출 역량 강화를 위한 주요 요인으로 에너지를 주목하고 있다고 설명함. ,이를 위한 이집트 산업통상부의 전략은 에너지 믹스 내 신재생에너지의 비중을 증가시키는 것과 동시에 향후 석탄 사용의 단계적 폐지할 수 있도록 주요 이해관계자와의 정기적으로 협력하는 것에 기반한다 설명함. ,"We aim to raise renewable energy sources to 42% by 2035’, says Egyptian Trade Minister","Egyptian Minister of Trade and Industry Nevine Gamea announced Saturday, that new and renewable energy sources in Egypt represent about 20 percent of the energy mix, and assured that the state aims to increase this to 42 percent by 2035","The government realizes the importance of energy as a major factor in enhancing the competitiveness of the Egyptian industry and increasing its ability to access global markets, she explained.","The strategy of the Ministry of Trade and Industry is based on increasing the contributions of new and renewable energy within the energy mix, she said, while coordinating with ministries and concerned authorities to periodically review the future energy usage to phase out coal uses.",Egypt Independent,https://www.egyptindependent.com/we-aim-to-raise-renewable-energy-sources-to-42-by-2035-says-egyptian-trade-minister/
83,라오스,2022-02-04,국제기구,농촌개발,"생태계 사업, 토지-산림자원 관리 강화",6년간의 라오스 남부의 건조 이우시과 산림 생태계의 지속 가능한 산림 및 토지 관리 사업(SAFE Ecosystems Project)이 사완나켓 주의 생물 다양성 및 생태계에 대한 위협을 개선하고 마무리 단계에 도달,본 사업은 지구환경기금(GEF) 및 유엔개발계획(UNDP)의 지원을 받아 농림산림부가 시행,사완나켓 주 부지사는 본 사업의 2021년 결과 및 최종 평과 보고서를 검토하기 위해 목요일에 열린 연례 검토회의에서 사업 성과를 발표,"Ecosystems project boosts management of land, forest resources",The six-year Sustainable Forest and Land Management in the Dry Dipterocarp Forest Ecosystems of Southern Laos project (SAFE Ecosystems Project) is almost at an end after tackling threats to biodiversity and ecosystems in Savannakhet province.,"The project was supported by the Global Environmental Facility (GEF) and the United Nations Development Programme (UNDP) and implemented by the Department of Forestry, Ministry of Agriculture and Forestry.",Deputy Governor of Savannakhet province on Thursday outlined the outcomes of the project when speaking at the final SAFE Ecosystems Project Annual Review Meeting to review the project results in 2021 and the terminal evaluation report.,Vientiane Times,http://www.vientianetimes.org.la/
84,엘살바도르,2022-02-04,국제기구,교육,"Oportunidades' 프로그램, 미국 국제개발처(USAID) 지원을 통해 74명의 수료생 배출","미국 국제개발처(USAID)와 엘살바도르의 Gloria de Kriete 재단이 협력하여 진행한 'Oportunidades' 프로그램의 수료생 74명이 산살바도르에서 배출됨. 올해 1월 산타아나(Santa Ana)주에서도 54명의 학생이 해당 프로그램을 수료해, 총 수료생은 128명임.","2021년 4월, Gloria de Kriete 재단과 USAID는 1,400만 불 규모의 파트너십 협약을 체결함. 해당 협약을 통해 USAID는 엘살바도르 산타아나(Santa Ana), 산살바도르(San Salvador), 산 미겔(San Miguel), 손소나테(Sonsonate) 주에 소재한 6개의 'Oportunidades' 센터 운영을 5년간 지원하며, 이를 통해 2,115명의 청소년이 혜택을 받을 것으로 예상됨.","Oportunidades' 프로그램은 Gloria de Kriete 재단이 2007년부터 운영해왔으며, 해당 프로그램을 통해 청소년들은 영어, 컴퓨터, 프로그래밍, 창업, 직업교육 등의 분야에서 3년간 교육을 받게 됨. 동 프로그램을 우수한 성적으로 수료한 학생들은 대학 장학금을 지원받을 수 있음. 2007년부터 현재까지, 'Oportunidades' 프로그램을 통해 엘살바도르 내 3,600명의 청소년이 혜택을 받음.","The United States Agency for International Development (USAID) graduates 74 students from the ""Oportunidades"" Program","USAID and the Salvadoran Foundation ""Gloria de Kriete"" graduated 74 students who completed the ""Oportunidades"" program in the department of San Salvador. Another 54 young people graduated in Santa Ana under the same initiative in January for a total of 128 students. ","In April 2021, Fundacin Gloria de Kriete and USAID signed a $14 million partnership to operate six Oportunidades centers for a period of five years in the departments of Santa Ana, San Salvador, San Miguel and Sonsonate. It is expected to benefit 2,115 young people.","Through 'Oportunidades' Program, which is operated by  Fundacin Gloria de Kriete from 2007, the young people are trained for three years in areas such as English, computers, programming, entrepreneurship, vocational orientation, among others. After completing this program with good grades, the students are eligible for a university scholarship.  Since 2007 to date, 3,600 young people have been benefited nationwide from the program. ",Diario El Mundo,https://diario.elmundo.sv/economia/fundacion-gloria-de-kriete-y-usaid-graduan-74-jovenes-del-programa-oportunidades
85,가나,2022-02-04,수원국,농촌개발,"식품농업부, 쌀 생산 높이기 위한 이니셔티브 발족","UNIDO가 식품농업부와 협력, 일본 정부의 자금 지원을 통해서 가나 내 쌀 생산을 촉진하는 기술 기반의 이니셔티브, ""쌀가치사슬 내 포스트-수확 과정을 위한 기술 발전 및 품질 통제 체계 형성 프로젝트""를 발족함. 해당 프로젝트는 2025년까지 가나의 쌀 자급자족률 향상에 기여하고자 함. 아샨티 및 북부 주에서 진행되는 3년 간의 프로젝트를 통해 쌀의 탈곡, 제분 및 포장 등 역량이 부족한 수확 과정에 현대 장비를 새롭게 도입할 예정임. 이는 농부, 농업 무역상, 곡물가공 담당자 등 가치사슬 주체의 역량을 강화하고, 품질 보증 지원하며, 생산성 및 사업 경쟁력을 제고하는 것을 목표로 함.",야우 프림퐁 아도 식품농업부 차관은 어제 아크라에서 열린 이니셔티브 발족식에서 삶의 질을 개선할 수 있는 쌀가치사슬의 경쟁력 확보를 위해 더 많은 노력이 필요하다고 말함. 모치즈키 히사노부 일본 대사는 일본의 공적개발원조 주요 목표 중 하나인 인간 안보의 개념을 향상하는 데 금번 프로젝트가 중요하다고 언급함. 찰스 폴 이헤아나초 아바니 UN상주조정관은 FAO에 다르면 쌀가치사슬에 중대하게 개입하고 투자할 경우 총 가치 생산량이 856백만 달러에 이를 것이라고 밝힘. 동 프로젝트는 가나 CARES 오바탄파 프로그램과 함께 이행되면서 2023년까지 가나의 쌀 생산 및 소비량에 있어서 자급자족을 가능하도록 할 것임.,,MoFA launches initiative to boost rice production,"The United Nations Industrial Development Organisation (UNIDO), in collaboration with the  Ministry of Food and Agriculture (MoFA) and the Government of Japan as funder has launched a technology-based initiative geared towards boosting the production of rice in Ghana. Dubbed “Improving the technology and quality control system for higher addition in the post-harvest processes of the rice value chain project,” it seeks to contribute to rice self-sufficiency in Ghana by 2025. The three-year project which would be implemented in the Ashanti and Northern regions, would involve the use of modern equipment for post-harvest phases, including threshing, milling and packaging of rice.It also aims at building the capacity of value chain actors  farmers, agro-traders,crop processors and public supporting institutions for quality assurance, increased productivity and business competitiveness.","The Deputy Minister of Food and Agriculture, Mr Yaw Frimpong Addo, who launched the initiative in Accra yesterday, said more effort was needed to make the rice value chain competitive to improve lives. The Japanese Ambassador to Ghana, Mr Mochizuki Hisanobu, said the project was significant in promoting the concept of human security, a key objective of Japan's official development assistance. For his part, the UN Resident Coordinator, Mr Charles Paul Iheanacho Abani, said the Food and Agriculture Organisation estimates that if significant interventions and investments in the rice value chain were made, its gross production value would reach $856 million. This project comes at a time when Ghana seeks to become self-sufficient in rice production and consumption by 2023, through the implementation of transformative interventions in the Ghana CARES Obaatanpa Programme.",,Daily Graphic,https://www.graphic.com.gh/news/general-news/mofa-launches-initiative-to-boost-rice-production.html
86,에콰도르,2022-02-04,수원국,기타,"2022년 1월 물가상승률은 0.72%로, 12년만에 가장 높은 월간 인플레이션을 기록함. ","이는 지난 주 금요일 에콰도르 통계청(INEC)이 소비자물가지수와 공식 인플레이션 측정 결과를 분석하여 보고한 것으로, 연간 물가상승률은 2021년 1월을 기준으로 2.56%임.","에콰도르 통계청(INEC)은 월별 인플레이션에 가장 큰 영향을 미친 3개 부분은 식품 및 무알코올 음료(0.4226%), 가구 및 일상 유지를 기본 물품(0.1220%), 그리고 기타 상품 및 서비스(0.0509%)라고 보고함. ","2022년 1월 기준, 보통가구(4인 기준)의 평균 소득은 $793.33이며, 가족 구성원들의 최저생계유지비는 $724.39로, 가구의 총소득이 최저생계유지비를 109.52%로 충당함.  ","With 0.72%, January presented the highest monthly inflation of the last 12 years","This was reported this Friday by the National Institute of Statistics and Censuses (INEC) through the results of the Consumer Price Index and the official measurement of inflation,Annual inflation stood at 2.56%,","The INEC reported that the three divisions that most affected monthly inflation in January are Food and non-alcoholic beverages (0.4226%); Furniture, articles for the home and for the ordinary maintenance of the home (0.1220%); and, Miscellaneous goods and services (0.0509%).","Meanwhile, the average monthly family income of a typical household (4 members with 1.6 recipients of a unified basic remuneration) in January 2022 was $793.33. The basic family basket in January 2022 cost $724.39, which implies that the average family income covers 109.52% of the total cost of the basic family basket. ",경제사회부,https://www.eluniverso.com/noticias/economia/con-el-072-enero-presento-la-inflacion-mensual-mas-alta-de-los-ultimos-12-anos-nota/
87,세네갈,2022-02-04,국제기구,농촌개발,"Dundel Suuf' 프로젝트 : Ziguinchor 생산자 6,000명 수혜",토양 비옥도와 새로운 비료 공식 사용을 촉진하는 미래의 세네갈 식량공급 또는 'Dundel Suff' 프로젝트는 지겐쇼 지역의 쌀 생산량을 헥타르당 2톤에서 4톤으로 증가시킴. ,"농업기계부가 국제비료개발연구소와 협력하여 진행한 3년간의 'Dundel Suuf'프로젝트는 토양 비옥도 및 생산성 향상을 목표로 함. 동 프로젝트 코디네이터인 Saer SARR에 따르면, 올해 지겐쇼의 6000명이 넘는 생산자가 혜택을 받았음. 1월 28일 워크숍에서 지겐쇼의 3개 도(道)의 프로젝트 프레임 내에서 얻은 결과를 공유하였고, 벼에 요소(PPU)를 심는 기술과 마이크로 도즈(작물 종자 구멍에 비료에 적합한 미네랄을 소량 넣어주는 시비(施肥)기술)로 800헥타르 이상을 경작하고 있다고 설명함. ","코디네이터는 프로그램의 시행을 위해 약 1억Fcfa의 지원액이 해당 지역에 투입되었다고 밝힘. 이를 통해, 생산자를 지원할 수 있었고 헥타르당 2배에 달하는 수확량을 얻을 수 있었음. 지겐쇼의 지역개발청 이사인 Casimir Adrien Sambou는 이 프로그램 덕분에 비료를 많이 절약하고 쌀 수확량이 30% 증가했다는 점에서 만족감을 표시함. ","Projet ""Dundel Suuf"" : 6000 producteurs bnficiares  Ziguinchor","Le projet Feed the future Sngal ou ""Dundel Suuf"" , qui promeut la fertilit des sols et l'utilisation de nouvelles formules d'engrais, a permis d'accrotre les rendements agricoles dans la rgion de Ziguinchor qui passent de deux  quatre tonnes  l'hectare pour le riz.","Initis par le Ministre de l'Agriculture et de l'quipement rural, en partenariat avec l'Institut international pour le dveloppement des engrais et l'Usaid, et droul sur trois ans, le projet ""dundel suuf"" fait son petit bonhomme de chemin dans le sud du pays en termes d'amlioration de la fertilit des sols et de la productivit. Selon le coordonnateur des activits du projet ""feed the future Sngal/ Duundel suuf"", Saer SARR, rien que cette anne, plus de 6000 producteurs ont bnfici de cette exprience dans la rgion de ziguinchor o des dmonstrations ont t effectues par les paysans. M SARR s'exprimait jeudi 28 Janvier lors d'un atelier de partage de rsultats obtenus dans le cadre du projet au niveau des trois dpartements de ziguinchor. De plus, a-t'il ajout, plus de 700 hectares ont t emblavs avec la technique du placement profond de l'ure (PPU) sur le riz et la microdose (technique de fertilisation qui consiste  mettre de petites quantits d'engrais minraux appropries dans les trous de semis d'une culture) pour les autres crales.","Pour le mise en œuvre dudit programme il a indiqu que prs de 100 millions de fcfa ont t injects dans cette partie du pays en soutien aux producteurs. Saer SARR se flicite ainsi de l'adhsion des producteurs et des excellents rsultats illustrs par la hausse des rendements qui ont doubbls  l'hectare. Le Directeur Rgional du dveloppement rural (drdr) de ziguinchor, casimir Adrien Sambou, a dit toute sa satisfaction de constater que grce  ce programme, le riz a connu un accroissement des rendements de 30% avec beaucoup d'conomie d'engrais. ",Le Soleil,Page 9
88,파키스탄,2022-02-04,수원국,교육,"펀잡주 정부, 펀잡 주 학생들에게 무료급식 제공",펀잡주 교육부장관 Murad Raas는 2월 2일 수요일 펀잡주 내 어린 학생들의 기아 및 영양실조 퇴치를 위한 '학교급식 프로그램'을 발표함.  ,Allah Wallay Trust(파키스탄 요식업장)와 Honda 파키스탄의 지원을 통해 공립 학교 학생을 대상으로 무료 중식이 제공될 예정임,"프로그램을 진행한 학교들에서 출석률이 33% 증가했고, 학생들의 건강 및 BMI 수치가 77% 개선됨",Punjab Govt Launches Free Lunch Program for School Students,"Punjab Minister for School Education, Dr. Murad Raas, on Wednesday, launched the ‘School Meal Program’ to combat hunger and malnutrition among young students across the province.  ","Under the program, free mid-day meals will be provided to the students of public schools with the support of Allah Wallay Trust and Honda Pakistan.","the schools under this program have seen a 33 percent increase in attendance, and a 77 percent improvement in students’ health, and their BMI levels.",ProPakistan,https://propakistani.pk/2022/02/04/punjab-govt-launches-free-lunch-program-for-school-students/
89,페루,2022-02-04,수원국,인권,"페루, 제네바 유엔 인권 이사회 UPR(국가별 인권 상황 정기검토) 참여","제네바에 본부를 둔 국제기구들을 대표하는 유엔의 인권 증진 및 보호를위한 메커니즘에 적극적이고 헌신적인 국가로서, 페루 Luis Chuquihuara 대사는 1월 24일부터 2월4일까지 제네바에서 열린 유엔 인권 이사회의 40차 UPR에 참여함.","페루는 세션 동안 검토된 국가들의 인권 상황 개선에 기여하기 위해 시리아 아랍 공화국, 아이슬란드, 베네수엘라, 볼리비아, 동티모르 및 아이티의 UPR에 대한 권고 사항을 제공함.","권고 사항은 사법 접근의 중요성, 사법 제도의 독립성, 여성, 아동 및 기타 취약 인구의 권리, 인종 차별에 대한 투쟁과 같은 중요한 문제를 다룸.",Per participa en el EPU del Consejo de Derechos Humanos de las Naciones Unidas en Ginebra,"Como pas activo y comprometido con los mecanismos de promocin y proteccin de los derechos humanos de las Naciones Unidas, a travs de su Representante Permanente ante los Organismos Internacionales con sede en Ginebra, Embajador Luis Chuquihuara, el Per particip en el 40º periodo de sesiones del Grupo de Trabajo del Examen Peridico Universal (EPU), del Consejo de Derechos Humanos, que se llev a cabo del 24 de enero al 4 de febrero, en Ginebra. ","Para contribuir a la mejora de la situacin de los derechos humanos en los pases revisados, durante la sesin, el Per brind recomendaciones en los EPU de la Repblica rabe de Siria, Islandia, la Repblica Bolivariana de Venezuela, Timor Leste y Hait.","Entre las recomendaciones se abarcaron importantes temas como la importancia del acceso a la justicia y la independencia de los sistemas judiciales, los derechos de las mujeres, los nios y otras poblaciones vulnerables, as como la lucha contra la discriminacin racial. ",페루 외교부,https://www.gob.pe/institucion/rree/noticias/581610-peru-participa-en-el-epu-del-consejo-de-derechos-humanos-de-las-naciones-unidas-en-ginebra
90,모로코,2022-02-04,수원국,기후행동,"모로코 은행, 유럽부흥개발은행으로부터 2,500만 유로 녹색기금 차관",모로코 소시에테 제네럴 은행그룹이 유럽부흥개발은행(EBRD)과 2천만 유로 이상 차관 계약 체결함. 녹색기후기금(GCF) 또한 차관 계약 통해 125만 유로 차관 예정.,"차관은 EBRD의 녹색경제금융시설(GEFF) 프로그램의 일부로, 중소기업에서 대기업까지 모로코의 민간 부문을 대상으로 하는 최초의 포괄적인 녹색 금융 계획임.",GEFF 프로젝트는 온실 가스 배출 감소 프로그램 목표에 따라 향후 운송 부문으로 확장될 가능성 있음.,Moroccan Bank Receives €25 Million In Green Funding From EBRD,Morocco’s Societe Generale banking group signed a loan agreement with the European Bank for Reconstruction and Development (EBRD). The Societe Generale banking group is to receive a loan of over €20 million to fund Small and Medium-Size Enterprises (SMEs) operating in the green economy.,"The loan is a part of the Green Economy Financial Facility (GEFF) project. The project is the first comprehensive green financing scheme targeting Morocco’s private sector from SMEs to big corporations, according to EBRD.","The GEFF project will likely extend to the transport sector, in line with the program’s goal of reducing greenhouse emissions.",Morocco World News,https://www.moroccoworldnews.com/2022/02/346899/moroccan-bank-receives-euro-25-million-in-green-funding-from-ebrd
91,동티모르,2022-02-04,공여국,거버넌스평화,"유럽연합 (EU)-포르투갈, 동티모르 경찰 범죄수사의 과학적 역량 분석 프로젝트 협력",유럽연합과 포르투갈은 PACED 프로젝트 실행을 통해 동티모르 경찰들을 지원한다. 이는 경찰 범죄 수사에서 과학적 역량 분석에 초점을 맞춘다.,"PACED 프로젝트는 동티모르 과학 범죄 수사대 (PCIC)로의 장비 전달 또한 제공하는데, 이는 범죄 수사 및 마약 밀매 등에 있어 이들의 역량 강화를 도모하기 위함이다.","조달된 장비들은 가스 크로노그래프와 질량 분석기 등으로 구성되어 있으며, 가스 색층분석법과 질량 분석을 통해 특정 샘플들에서 각기 다른 물질들을 식별할 수 있도록 하고, 다양한 약물 탐지 및 식별, 화재 조사, 환경 분석 또는 폭발물 조사 등에 사용된다.",EUPortugal and TL strengthen cooperation on PACED Project,EU and Portugal support the Timor-Leste police in implementing the PACED project. It focuses on Police scientific capacity analysis in criminal investigations.,"PACED Project included delivery of equipment to the Scientific Police for Criminal Investigation (PCIC) of Timor-Leste, to strengthen their capacities in the field of criminal investigation and the fight against drug trafficking.","The equipment delivered, which consists of a gas chronograph and mass spectrometer, combines the resources of gas chromatography and mass spectrometer, making it possible to identify different substances in specific samples, contributing to the detection and identification of different drugs, fire investigation, environmental analysis or investigation of explosives.",Tatoli,http://www.tatoli.tl/en/2022/02/04/eu-portugal-and-tl-strengthen-cooperation-on-paced-project/
92,튀니지,2022-02-04,수원국,기타,"Najla Bouden 총리, 해외 협력의 일환으로 두 차례 장관 회의 주재","Najla Bouden 총리는, 2.4.(금) 튀니스 정부청사에서 해외 협력 프로그램의 틀 내에서 자금을 조달한 프로젝트의 후속 조치를 논의하기 위한 두 차례의 장관 회의를 주재함.","총리는 첫 번째 회의에서 이슬람개발은행(IDB) 그룹이 자금을 지원하는 프로젝트 검토에 초점을 맞추고 두 번째 회의는 아프리카 개발은행(AFDB)이 자금을 지원하는 프로젝트에 중점을 두었다고 밝힘. 검토된 프로젝트는 건강, 농업, 산업, 교육 및 직업훈련 분야 관련임.",두 번의 회의를 통해 토지 및 행정적 성격을 지닌 특정 프로젝트 실행의 문제와 장애물을 검토할 수 있었음. 이러한 장애물을 가능한 빨리 완화하기 위한 해결책이 제안되었으며 프로젝트 진행 상황을 주기적으로 모니터링할 것이라 밝힘.,Najla Bouden chairs two ministerial meetings on projects financed as part of foreign cooperation,"Prime Minister Najla Bouden chaired, on Friday at the Kasbah, two ministerial meetings devoted to the follow-up of projects financed within the framework of foreign cooperation programmes.","The first meeting focused on the examination of projects financed by the Islamic Development Bank (IDB) group, and the second on projects financed by the African Development Bank ( AfDB), said a statement from the Prime Ministry. The projects in question concern the fields of health, agriculture, industry, education and vocational training.","The two working sessions made it possible to review the problems and obstacles which hinder the implementation of certain projects, which are notably of land and administrative nature. Solutions were proposed to smooth out these obstacles as soon as possible, the statement added, specifying that the progress of the projects will be periodically monitored.",TAP(Tunis Afrique Press),https://www.tap.info.tn/en/Portal-Politics/14846235-najla-bouden-chairs
93,동티모르,2022-02-04,공여국,기후행동,"호주 인도주의 파트너십(AHP), 재난 대응 위해 시민 보호 데이터 관리 강화","INGO들 (동티모르 케어 인터내셔널, 호주 카리타스, 옥스팜, 월드비전과 플랜 인터내셔널)의 컨소시엄인 호주 인도주의 파트너십(AHP)는 2022년 1월 31일부터 2022년 2월 4일까지 5일간 참여자 32명을 대상으로 코보툴박스(KoBo Toolbox) 시스템을 이용한 모니터링 및 평가, 데이터 관리 관련 교육을 공동 편성해 추진하고 있다.",해당 훈련은 코보 툴박스 시스템을 활용하여 재난에 대한 올바른 정보관리를 할 수 있도록 모니터링 및 평가 단계부터 가정 및 대피 센터 수준의 데이터 관리까지 민방위원(MDMC)과 시민 보호 직원들의 역량강화를 목적으로 한다.,"참가자는 시민보호 조정관, 12개 지자체 재난관리위원회를 비롯해 재난위험관리국(DNGRD) 산하 국가재난대응센터(NDOC) 이다. ",Australian Humanitarian Partnership (AHP) strengthens Civil Protection’s data management to respond to disasters,"The Australian Humanitarian Partnership (AHP) consortium of INGOs (CARE International in Timor-Leste, Caritas Australia, Oxfam, World Vision, and Plan International) is jointly organizing and facilitating a five-day training program on Monitoring and Evaluation and Data Management using the KoBo Toolbox system to 32 participants from 31st January to 4th February, 2022.","The objective of the training is to enhance the capacity of the Civil Protection staff, as well as the Municipality Disaster Management Committee (MDMC), to be able to do proper data management of disasters using the KoBo Toolbox system; starting from the assessment, as well as monitoring and evaluation stage, up to the data management at household and evacuation Centre level.","Participants include the Coordinator of Civil Protection and Municipality Disaster Management Committee, as well as the National Disaster Operations Center (NDOC) of the National Directorate of Disaster Risk Management (DNGRD in Tetun) from the 12 Municipalities.",Tatoli,http://www.tatoli.tl/en/2022/02/04/australian-humanitarian-partnership-strengthens-civil-protections-data-management-to-respond-to-disasters/
94,모잠비크,2022-02-04,공여국,기타,"UAE, 모잠비크와 상호 투자 촉진 및 보호를 위한 협정 체결",UAE는 경제 및 투자 협력 수단을 강화하고 활성화하기 위한 노력의 일환으로 모잠비크와 상호 투자를 촉진하고 보호할 수 있는 협정을 체결하였음. ,"동 협정은 모든 비상업적 위험으로부터 양국의 투자를 보호하고, 이익과 수익의 이전을 다루고 분쟁 해결을 용이하게 함.",,UAE signs agreement on mutual promotion and protection of investments with Mozambique,"The United Arab Emirates signed an agreement to promote and protect mutual investments with the Republic of Mozambique, as part of  efforts to strengthen and activate means of economic and investment cooperation. ","The agreement protects both nations’ investments from all non-commercial risks, covers transfer of profits and revenues and facilitates resolving disputes.",,Club of Mozambique,https://clubofmozambique.com/news/uae-signs-agreement-on-mutual-promotion-and-protection-of-investments-with-mozambique-209121/
